allegro_E,allegro_F,vasp_E,vasp_F
-1152.2344222155407,0.5218764914920361,-1152.15877908,1.379858524689035
-1152.271763236669,0.47807098482822186,-1153.41595094,0.9305437941693019
-1152.3404950737404,0.4004999954616288,-1153.71373606,1.0500508852860417
-1152.430411115974,0.3057731148402551,-1155.00998133,0.5859910065871318
-1152.530088392963,0.21337391574532075,,
-1152.6294656756738,0.19200990372715157,,
-1152.721609743614,0.17866972967121184,,
-1152.8033810172783,0.15653094226881567,,
-1152.882313299019,0.16045099257166534,,
-1152.9601749775807,0.19519735132348986,,
-1153.044698593651,0.23521264930739372,,
-1153.1499655372775,0.2570614830413701,,
-1153.2906005545199,0.23118673415540525,,
-1153.4504268684705,0.23977131164725882,,
-1153.6143179630299,0.18634245386718024,,
-1153.7750275931835,0.15254519672544095,,
-1153.9323578220328,0.14730726085917314,,
-1154.0886937302737,0.1244926026159503,,
-1154.245395316891,0.11941426087498583,,
-1154.4025899856206,0.10929052622478781,,
-1154.55972659089,0.09890026565003744,,
-1154.7150905865694,0.11078317057610569,,
-1154.8667752795077,0.12040252482972347,,
-1155.0145686760952,0.10858031703752834,,
-1155.160071338148,0.09712409478402413,,
-1155.3036346816632,0.10320276728111723,,
-1155.4427934558205,0.11159137740265096,,
-1155.5738934171,0.11151466912039704,,
-1155.6949826203956,0.08524312848121397,,
-1155.806545652932,0.08052213055568848,,
-1155.9096781963,0.09820726210755155,,
-1156.0039438103147,0.09362625779150752,,
-1156.0871908228671,0.08546298374668954,,
-1156.15747167903,0.06743812850827581,,
-1156.2138056242043,0.05952996010568641,,
-1156.2559172678166,0.0686280341121012,,
-1156.2836140693116,0.07311700209292477,,
-1156.29551769096,0.05246985773630186,,
-1156.2927673419485,0.0773986986663499,,
-1156.299584955469,0.02203983435240952,,
-1156.2971943104283,0.057170917910350165,,
-1156.2984003728006,0.042821851187214974,,
-1156.2998199714557,0.022969479583099386,,
-1156.3004140735638,0.011769155411809925,,
-1156.300414963311,0.011047788288868848,,
-1156.300420489813,0.009650039879051582,,
-1156.300444984584,0.007669328647895275,,
-1156.3004541330565,0.005248421001563084,,
-1156.3004729477861,0.0027303787462213836,,
-1156.3004865520006,0.0020529193721142676,,
-1156.300494503856,0.0032827226620734747,,
-1156.3005109250512,0.005103445667876795,,
