config1,config2,mean_rmse_config1,mean_rmse_config2,std_rmse_config1,std_rmse_config2,t_statistic,p_value,cohen_d,significant_force_rmse,better_config
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,0.18398307605308697,0.2392002930275565,0.0046417545347173786,0.004084073067537546,-26.79285324885625,1.468670784658725e-14,-12.63027214640152,True,hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,0.19069381996348997,0.2392002930275565,0.0033519100008600118,0.004084073067537546,-27.542445484296646,1.5730475462614303e-14,-12.983633314937974,True,hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,0.1989055082850888,0.23439623684983457,0.0030634672169123777,0.0026527654314562423,-26.273818823594457,2.182043019378777e-14,-12.385596971886935,True,hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_003_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,0.19069381996348997,0.23347816082526865,0.0033519100008600118,0.0036780130343311477,-25.793113267210945,2.2274504710983234e-14,-12.158990199438378,True,hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,0.1916931952407665,0.2392002930275565,0.003770804890287452,0.004084073067537546,-25.639538082526744,2.3251727362039714e-14,-12.08659416309693,True,hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.19523981751201225,0.24057241547657343,0.0035675348994297354,0.003936969182024755,-25.597600616137978,2.5671948523295822e-14,-12.06682465185074,True,hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,0.1776244577622469,0.23657921443040428,0.00443231141349088,0.002710156902146771,-34.04363842138331,2.744949132176828e-14,-16.04832505601535,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_012_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-128,0.19069381996348997,0.22908225317671338,0.0033519100008600118,0.002713048320099987,-26.706235172250125,2.817455343987306e-14,-12.589439993507165,True,hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,0.1916931952407665,0.23657921443040428,0.003770804890287452,0.002710156902146771,-28.99802967695614,2.898960480155688e-14,-13.669802283749625,True,hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,0.19523981751201225,0.23657921443040428,0.0035675348994297354,0.002710156902146771,-27.681352196888728,3.0440039448122e-14,-13.049114567222103,True,hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_018_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,0.1916931952407665,0.23362478201720607,0.003770804890287452,0.0032652579204344332,-25.21910640854145,4.0905692816348093e-14,-11.888400771296519,True,hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_006_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128,0.1776244577622469,0.2271037374844281,0.00443231141349088,0.004097876732519355,-24.590507278142063,4.427951917322529e-14,-11.592076299460937,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_037_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-256,0.1776244577622469,0.22593669983089595,0.00443231141349088,0.0038677211306289397,-24.638326680144267,5.588913907385549e-14,-11.6146185817463,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,0.1776244577622469,0.23439623684983457,0.00443231141349088,0.0026527654314562423,-32.971606025961336,5.6142772430716464e-14,-15.542964138378995,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_036_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-128,0.19069381996348997,0.22771658400894973,0.0033519100008600118,0.002585886313662771,-26.235874248229305,5.72247023897444e-14,-12.367709727520305,True,hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_013_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-256,0.1776244577622469,0.22704349189621084,0.00443231141349088,0.0032985919122133296,-26.833658959845007,5.963509096541913e-14,-12.64950814303571,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
