config_name,hpo_id,mean_force_rmse,std_force_rmse,num_rmse_samples,mean_katom_steps_per_s_log,mean_peak_gpu_memory_mib,mean_timesteps_per_s_log,std_katom_steps_per_s_log,std_peak_gpu_memory_mib,std_timesteps_per_s_log
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_107,0.17229209510332644,0.00584867136313662,9,24.114000000000004,11347.42857142857,72.34295238095238,11.47797892488046,5336.363561184982,56.92377883756154
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_098,0.1776244577622469,0.00443231141349088,9,27.1113,10927.714285714286,82.98269999999998,13.168387788863704,5123.732781311464,60.14200299913006
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_106,0.18239709264590206,0.005973135935875554,9,32.18928571428571,10912.285714285714,86.68995238095238,17.21797024664306,4860.178331531232,64.8930276974932
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_097,0.18491538321505765,0.005387357842691856,9,33.983380952380955,10505.47619047619,91.36547619047617,18.647929047152097,4557.4033135004365,68.04814126676719
hpo_080_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_080,0.186418048807259,0.0063856400700684065,9,33.09238095238096,6065.666666666667,108.52733333333333,12.830882715059749,4129.999592413216,102.0662757208929
hpo_071_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_071,0.19145324520462953,0.005188298525412543,9,39.727714285714285,5921.523809523809,123.71423809523806,17.303384013373964,3940.3994546117738,113.56261286924705
hpo_077_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_077,0.1939754771374668,0.00474953768408888,9,10.402,5831.9047619047615,192.637,0.0,3865.2459935269567,0.0
hpo_053_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_053,0.19841805111744593,0.007206790827368897,9,65.34652380952382,5202.333333333333,198.98076190476192,28.659142069536987,3833.899611796497,165.3906196714024
hpo_085_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_085,0.19906879673368638,0.004782099440612603,9,32.892,6217.761904761905,222.23363636363638,18.41109892972171,3981.065961583178,147.61485700177522
hpo_052_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_052,0.2011866667974268,0.0035989075431855154,9,85.208,4836.428571428572,234.47757142857145,42.015905100330755,3315.944670398295,174.3971848329472
hpo_043_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_043,0.20499603756342646,0.0037828567330857044,9,90.46771428571428,4662.380952380952,247.00100000000003,45.57374041500529,3116.0807030016163,184.41017179076647
hpo_051_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_051,0.20549200026337544,0.003425460300348686,9,95.32519047619047,4929.809523809524,248.9270476190476,51.01973262338704,3409.411204578404,176.71065123117967
hpo_034_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_034,0.20635860196767342,0.005825139338832814,9,93.98714285714287,4619.9047619047615,250.37266666666667,48.946303622731016,3058.520752010061,181.59951790776688
hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_084,0.2075035499652737,0.003391859137774939,9,18.277,5531.809523809524,338.4626666666666,7.525027109585718,3458.4520759878637,139.35422388407653
hpo_057_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_057,0.2180243197739632,0.0031128870179095353,9,54.990875,4478.285714285715,393.3515,39.10751006223558,2682.9408704415596,122.13794768445811
