Name,Default_default_final_rel_rmse_f,Default_default_final_rmse_e_per_atom,Default_default_final_rmse_f,valid_default_final_rel_rmse_f,valid_default_final_rmse_e_per_atom,valid_default_final_rmse_f
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_2,37.99158754516952,1.6805860213935375,31.35998547077179,3.755598518185594,4.108044318854809,40.389806032180786
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_1,37.634890583300326,1.6719044651836157,31.065551564097404,3.890837815996413,3.784840693697334,41.84424504637718
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_0,37.182257115298725,1.4305260265246034,30.691927298903465,3.657376026047739,3.6007047165185213,39.333466440439224
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_2,37.04124402049369,1.3732529478147626,30.575523152947422,4.287811552633304,2.3744257632642984,57.987768203020096
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_1,36.25725781314597,2.0291628316044807,29.928388074040413,7.615779150634279,3.1062946654856205,102.99474000930786
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_0,37.05126528594462,1.3764973264187574,30.58379516005516,4.205604757536166,2.2915671579539776,56.87601491808891
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_2,35.87053989957503,1.3790418161079288,29.60917353630066,26.86713047714664,1.432754215784371,31.286470592021946
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_1,35.96754149810151,1.2353331549093127,29.68924306333065,26.881823842510073,1.3259565457701683,31.303580850362778
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_0,35.845571358209135,1.167546259239316,29.58856336772442,26.83964399876592,1.2598760658875108,31.254462897777557
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_2,38.94119887211249,1.5805516159161923,32.143834978342056,2.454291193916873,2.5222990661859512,56.764524430036545
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_1,40.52149881123985,1.7702485201880336,33.44828635454178,2.3692257184031527,2.5133411400020123,54.79707196354866
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_0,39.88924073574873,1.7083879793062806,32.92639181017876,2.0928770396460026,2.4227919057011604,48.405490815639496
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_2,41.04059706167108,2.3522740229964256,33.876776695251465,6.67150780534395,3.577558323740959,215.67173302173617
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_1,39.24299666663936,1.5698967035859823,32.3929525911808,6.551872729284897,3.6295221652835608,211.80425584316257
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_0,40.58778222145962,1.7328470712527633,33.50299969315529,6.356738241269917,7.955381646752357,205.49608767032623
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_2,41.216064285212234,1.8155777361243963,34.021612256765366,4.065587593533568,3.075212938711047,43.72360184788704
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_1,40.07498050772427,1.723527908325195,33.079709857702255,4.023955464470252,2.920051570981741,43.2758666574955
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_0,40.55496856620463,1.7826828407123685,33.47591683268547,4.157189846956593,2.813180908560753,44.7087436914444
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_2,43.48891235750935,2.1900536958128214,35.89772433042526,18.380331371185747,4.826636519283056,248.57304990291595
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_1,43.11249100555183,2.1186969242990017,35.58700904250145,12.39445562656855,4.152487963438034,167.62089729309082
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_0,42.69326321620516,2.10689939558506,35.240959376096725,11.196483184616405,3.565632738173008,151.41968429088593
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_2,40.17438080118721,1.5290443552657962,33.16175937652588,30.205992215224015,1.7135475063696504,35.17453745007515
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_1,40.296314836546216,1.634999760426581,33.26240926980972,30.311088326462755,1.880049239844084,35.29692068696022
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_0,40.14106082994376,1.5723406104370952,33.134255558252335,30.15452864705472,1.785597065463662,35.11460870504379
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_2,40.17986869026104,1.5840913401916623,33.16628932952881,5.291881653620683,4.869434982538223,122.39425629377364
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_1,39.664756286389334,1.666196039877832,32.74109214544296,2.1835919744894454,5.035504698753357,50.50360783934593
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_0,39.775678439067306,1.5770649770274758,32.83265233039856,4.910994864008815,3.6643841303884983,113.58484625816344
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_2,39.454004147018864,1.6625620191916823,32.56712481379509,9.228388926572956,3.3840464893728495,298.3287572860718
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_1,39.997733955739,2.0040736999362707,33.01594406366348,8.49464538024068,4.509169142693281,274.6088206768036
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_0,39.223314210162336,1.6429349780082705,32.37670287489891,9.481750224922214,5.2531082183122635,306.5192401409149
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_2,42.541555806798215,3.544968320056796,35.11573001742363,6.456955889073411,8.2422299310565,69.44171339273453
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_1,42.90339160047917,2.5315715465694666,35.41440889239311,13.205468310446852,4.961988888680935,142.01898872852323
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_0,42.73231478212275,2.192100742831826,35.273194313049316,8.707783015006223,3.4822558518499136,93.64836663007736
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_2,43.64301159283388,2.37401481717825,36.02492809295654,15.217821634340847,5.486481823027134,205.803707242012
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_1,43.05081092333807,2.3725891951471567,35.53609549999237,12.971788995204053,5.25190494954586,175.42867362499237
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_0,43.39509532368785,2.2186224814504385,35.820286720991135,15.24372153750943,4.84361732378602,206.1539739370346
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_2,41.80954157878613,1.8353154882788656,34.511495381593704,31.649198682268818,2.122704405337572,36.85513511300087
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_1,41.745302587769025,1.9648019224405289,34.4584695994854,31.694932701697432,2.2069907281547785,36.90839186310768
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_0,41.63157782068739,1.907810103148222,34.364596009254456,31.6063662266078,2.202862873673439,36.80525720119476
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_2,42.387358531006264,1.92248378880322,34.98845174908638,2.0034074824087584,2.6650710497051477,46.33617773652077
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_1,41.91258391705382,1.7758812755346298,34.59655120968819,1.9378545870945891,2.538438653573394,44.82002556324005
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_0,41.625083517745594,1.827303902246058,34.35923531651497,1.852888812659275,2.852176083251834,42.854879051446915
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_2,43.01092444008606,2.308605471625924,35.503171384334564,3.1783972383948575,4.411757458001375,102.74895280599594
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_1,43.01150211262014,2.576440339908004,35.50364822149277,2.3194058962755717,5.195120815187693,74.98009502887726
model_30_r_cut6.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_0,42.49209326927617,2.2811973467469215,35.074904561042786,1.9462846052618077,3.785269102081657,62.91809678077698
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_4_fold_2,45.203349664278306,2.563090529292822,37.31289878487587,4.959350995291283,3.875261638313532,53.335633128881454
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_4_fold_1,45.48080397717344,2.760716248303652,37.54192218184471,4.392855727473625,4.42922068759799,47.24322631955147
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_4_fold_0,44.74481757728038,2.3030799347907305,36.93440556526184,4.331891129651759,3.6265947856009007,46.58757895231247
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_3_fold_2,45.971568386346725,2.715624636039138,37.947021424770355,8.86135613467981,6.806367542594671,119.83975023031236
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_3_fold_1,46.25052103737714,2.8998476918786764,38.177281618118286,6.675330924559619,6.683414336293936,90.27624875307085
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_3_fold_0,46.06471356940152,3.1160491053014994,38.02390769124031,8.653885305224481,7.168295327574015,117.0339435338974
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_2_fold_2,44.41067914697799,2.3242563474923372,36.65859252214432,33.21357662762208,2.5366246700286865,38.67683559656143
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_2_fold_0,44.163074257055115,2.3599585983902216,36.4542081952095,33.33882693041093,2.596155507490039,38.82268816232681
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_2_fold_1,44.17045312106474,2.2653306368738413,36.46029904484749,33.16188272583507,2.437297720462084,38.616638630628586
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_1_fold_2,45.37727832351875,2.257585758343339,37.456464022397995,2.8842677986715732,4.581083077937365,66.70931726694107
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_1_fold_1,45.03250301232218,2.762551186606288,37.171874195337296,2.040312505012931,4.2760842479765415,47.18974232673645
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_1_fold_0,45.12667673470567,2.449990017339587,37.249606102705,2.4761084958141857,3.806827357038856,57.269129902124405
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_0_fold_2,43.795065261375235,2.1531335078179836,36.15043684840202,6.024010647558351,4.688471090048552,194.7399079799652
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_0_fold_1,44.785787667175555,2.3513322230428457,36.96822747588158,4.989805328418477,4.120702389627695,161.30685806274414
model_2_r_cut5.0_max_L0_num_channels32_learning_rate0.001_batch_size4_initial_rep_0_fold_0,44.360854890913025,2.5923168286681175,36.6174653172493,3.3219162772267956,4.563578404486179,107.38853365182877
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_2,32.26804084154405,1.0872596176341176,26.635507121682167,4.368466285870903,3.1439396552741528,46.980928629636765
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_1,33.46002749803173,1.3031999114900827,27.61942707002163,4.7282464010549585,3.305277554318309,50.85020512342453
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_0,33.87486858657268,1.528229215182364,27.96185575425625,4.34767654711061,3.2009712886065245,46.75734415650368
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_2,33.005954320906284,1.05997605714947,27.24461443722248,13.44347112095592,2.3521941620856524,181.80763721466064
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_1,33.35265261575838,1.16422597784549,27.530794963240623,16.084308150633206,2.609941875562072,217.52195060253143
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_0,34.21359454914771,1.6882355557754636,28.24145555496216,15.674007451143378,2.9839780181646347,211.97310090065
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_2,29.83410562397021,0.8109405171126127,24.62642639875412,22.213014196204423,0.8489228785037994,25.866804644465446
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_1,29.74863265425875,0.9192526922561228,24.55587312579155,22.07367355425964,1.0037559550255537,25.70454403758049
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_0,29.89906670565492,0.911918410565704,24.68004822731018,22.086289118446597,1.0120751103386283,25.719234719872475
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_2,33.788389202993244,1.2284819968044758,27.89047174155712,2.7604442134663403,2.2657534573227167,63.8454407453537
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_1,33.78040479551846,1.2942864559590816,27.88388356566429,2.5182461338209157,1.7474187770858407,58.24371799826622
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_0,33.559168290161004,1.221358310431242,27.70126238465309,2.109399070697301,2.05288827419281,48.78762364387512
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_2,35.14151039195771,1.739887986332178,29.007399454712868,8.317746872834036,3.1463843770325184,268.8901722431183
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_1,34.788159836830275,1.410969067364931,28.715727850794792,7.369264306581087,3.494597738608718,238.22830617427823
model_22_r_cut5.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_0,33.837751667431526,1.2818947434425354,27.9312152415514,7.291930786975382,3.800273174419999,235.72832345962524
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_2,35.73834057604985,1.480167848058045,29.500044882297516,4.024941988112982,2.600458450615406,43.28647628426552
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_1,37.024880724643815,1.6992451855912805,30.562013387680057,3.834799601337079,2.723641227930784,41.24157875776291
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_0,35.92186220888564,1.4337910106405616,29.65153194963932,3.667626103685377,2.9373259749263525,39.44370150566101
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_2,38.22631105891361,1.556078321300447,31.553734093904495,5.754422217452035,3.1746861059218645,77.8220072388649
