"Name","test0_epoch/forces_mae","test0_epoch/per_atom_energy_mae","test0_epoch/total_energy_mae","test0_epoch/stress_mae","val0_epoch/total_energy_mae","val0_epoch/stress_mae","val0_epoch/per_atom_energy_mae","val0_epoch/forces_mae","epoch"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold2_seed2","0.17402549341682255","0.022692932367025628","2.136762379453812","0.007490700382351499","2.177285291136111","0.007363154498553162","0.02360143971933175","0.17888018325676322","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold2_seed1","0.1800545902799673","0.023742125103968777","2.2455161499798137","0.007327868219620219","2.2655861329758347","0.007255290071727563","0.02384923817476975","0.1847439303815158","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold2_seed0","0.16960887169240774","0.021611763918226005","2.1586134283969565","0.006815148596702026","2.200782090391508","0.006828946048973689","0.022603819683240704","0.17470011817645165","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold1_seed2","0.168024539122599","0.020830521837250027","2.0115166148186745","0.00695117328373609","2.020366120155176","0.006795402584545204","0.021420896150148156","0.17807534799013905","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold1_seed1","0.17070885867040742","0.022078601445981103","2.119970537221049","0.0073790405070812285","2.109729852294843","0.00714237988976578","0.02244270910954958","0.180826523073131","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold1_seed0","0.1623473273207738","0.021271773812992775","2.0615338432186148","0.006831690826672271","2.048658628579208","0.006828455739068328","0.022010406831695382","0.17333331003551153","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold0_seed2","0.1797027116297915","0.02227756203760937","2.1509621733940603","0.007623479931574686","2.1561415001651443","0.007541865081669728","0.022440635992169083","0.1850195217040946","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold0_seed1","0.17678124603805195","0.02221010539935204","2.175193421113566","0.007189554090347514","2.152538950464347","0.007235703797230987","0.022421627809256904","0.18192135396946252","100"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold0_seed0","0.16937521775911688","0.02085724613580669","2.062847471027262","0.007102085778865289","2.060505279586946","0.007457286686264664","0.021565969396949346","0.17446329893422993","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold2_seed2","0.18530939460658588","0.02360365001734567","2.2575264711303213","0.0076732015228356595","2.3095697773258994","0.007528816924569105","0.024432055336082985","0.19083875292786617","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold2_seed1","0.18735633827957127","0.023055335611751195","2.191757965390395","0.007625657890920307","2.2412950112199708","0.007407996140891596","0.02326471695331575","0.19264665776062928","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold2_seed0","0.17887172081830735","0.0226730054796515","2.2136325070499203","0.00673802427915321","2.2664689666122984","0.006949839342711203","0.02345852959623966","0.18376524697806548","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold1_seed2","0.17861178910094624","0.022165281184891507","2.150696976148022","0.007457867893471292","2.137281772562197","0.007312467579870269","0.022839209389700382","0.18900187339460195","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold1_seed1","0.1758621922877834","0.02270740298628226","2.1542465964024298","0.007412908943612024","2.1273399815636527","0.007260155545973713","0.023270305392183808","0.1859777826634262","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold1_seed0","0.17286963067471536","0.022417648361360232","2.1547605479015286","0.006732451678234233","2.1513332215065124","0.006858010477506856","0.023183106791107317","0.18291278714769052","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold0_seed2","0.1889720785988846","0.023077831873187248","2.254698969055011","0.007363648354652066","2.2639292607720236","0.007651666997711743","0.02396321062637751","0.19504847951356097","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold0_seed1","0.1889869971462039","0.023662680029335425","2.268041344154282","0.007743508575472333","2.249039931944334","0.007963894963018085","0.02399963629240557","0.1946161126868991","100"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold0_seed0","0.18473369230012085","0.02279579476414367","2.1949378167385505","0.007093706447744179","2.232450343380852","0.007420399353885432","0.02354596104161209","0.18957730293213315","100"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold2_seed2","0.19152708751618727","0.024390803236085196","2.2408874379313803","0.007630788133275404","2.315970208976524","0.007393377192136928","0.02475335637887478","0.19742695492641832","100"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold2_seed1","0.19469295514975177","0.0233940334135636","2.2032886308439807","0.007858656406175293","2.286583974349584","0.00777715245625284","0.024284889100209043","0.19978033461938183","100"
