mlip_energy_total,vasp_energy_total,energy_diff,num_atoms,cell_param_diffs,cell_rmse,mean_atomic_displacement,max_atomic_displacement,rms_atomic_displacement,atomic_displacements_all,composition,type
-1119.5167144729298,-1115.99073208,-3.525982392929791,125,"{'da': np.float64(0.005622092069190288), 'db': np.float64(-0.0066855856032930205), 'dc': np.float64(0.0027098753850989254), 'dalpha': np.float64(-0.008554034535180222), 'dbeta': np.float64(-0.05540885150763586), 'dgamma': np.float64(-0.002822022970974558)}",0.023219691874818885,0.014248507622359958,0.03895774466791483,0.016069025385685776,"[0.008354434554327134, 0.013112982296752146, 0.012670590465678627, 0.010083323370150998, 0.006537933147327577, 0.009792243803551827, 0.008534333166031824, 0.004434467857432344, 0.003271473754672625, 0.006476903973174322, 0.018630748917175602, 0.01631371924423774, 0.003243047805464436, 0.0076709179698732045, 0.005460077076198801, 0.017190444754513593, 0.02008292170608508, 0.004471152905156986, 0.015800759291266748, 0.022787822517014892, 0.003048321533674722, 0.005275828413297706, 0.01304470989994461, 0.005621803630003203, 0.015055962024770133, 0.015729005306082632, 0.003627952367441064, 0.010129792676160258, 0.015898467693920386, 0.008414419514814812, 0.019619018998538625, 0.014162888182809771, 0.0031336785470064796, 0.011938790665776636, 0.013920719673592277, 0.014121229786266818, 0.01133983232977585, 0.007425167406512012, 0.015901062331048304, 0.004885794709072515, 0.011661259620577015, 0.012949394030227344, 0.015150320583186723, 0.015421135954009946, 0.014797176866054442, 0.01907369117232293, 0.011941647969584749, 0.010211670639053089, 0.014889405512246733, 0.015942106968665215, 0.023459629043862864, 0.027022978815976515, 0.007844683052600873, 0.008958357256599853, 0.007347285636460279, 0.014754178198613624, 0.030783453159066772, 0.00584450950046836, 0.014057259856138442, 0.011166629113091683, 0.015834392671144247, 0.01865033965211694, 0.0054575039646473115, 0.004827790107186032, 0.007157941168554204, 0.011473795778831754, 0.022638070338833326, 0.02184024461655875, 0.015270918845569055, 0.028976872844724604, 0.023114031516303656, 0.016729104222743017, 0.00995406861101241, 0.016871082261574397, 0.02410592785046065, 0.026497820187897918, 0.004840064153979281, 0.019587381777123297, 0.01644978184350394, 0.026336096450433825, 0.019941511802210744, 0.01407325269658665, 0.01638391181827487, 0.020639768587076775, 0.02889286722439393, 0.018919638959379675, 0.01239976735875618, 0.012263311897246472, 0.01984549554489385, 0.021512275016781063, 0.0033712497387125557, 0.02022492780239644, 0.023154333609008204, 0.008461529795828475, 0.0060123034144360585, 0.007325832874075281, 0.004912074085755544, 0.02767022543511336, 0.02536453283886162, 0.015673120245070695, 0.03297812226404266, 0.017938355236284842, 0.010585807763810842, 0.019631369993310957, 0.030343150938885073, 0.02234345745103121, 0.014754704147693379, 0.023859644858551375, 0.021762455935947472, 0.03895774466791483, 0.00523353193306028, 0.012875451962596582, 0.017117763908475633, 0.006949012688404114, 0.019799247380075487, 0.01288941767613587, 0.006220899711159074, 0.004649653350066361, 0.0142620893763459, 0.008368446193087981, 0.01793785331571281, 0.013181169631561912, 0.010868355684995583, 0.011488286936614339, 0.0019207829657702034]",Cr5Ti5V115,perfect
-1156.9373187177114,-1153.17243036,-3.7648883577114702,128,"{'da': np.float64(-0.001869440076880835), 'db': np.float64(0.00062352027272361), 'dc': np.float64(0.001862505459607533), 'dalpha': np.float64(0.16291600192876388), 'dbeta': np.float64(-0.019624653401109526), 'dgamma': np.float64(-0.014751746096152374)}",0.06727024754521946,0.015575705648007452,0.03401605878169181,0.016957908050362288,"[0.023527654529853004, 0.0044437299007194205, 0.023313496322276913, 0.008002961592260872, 0.010412178267334437, 0.018557902247907744, 0.013515277887753785, 0.014221666115655998, 0.013524458373580892, 0.02057904582155199, 0.02441471194157469, 0.005197933210766233, 0.008552136701852649, 0.012357250491391943, 0.023870430877604418, 0.01150778282316998, 0.01560008801720811, 0.015692156853375463, 0.018811175477874482, 0.0017463287475741357, 0.01212615018776867, 0.0070261505946359265, 0.02460799269743227, 0.005453945961007548, 0.01838876618478558, 0.018542878947153008, 0.017997103643700326, 0.01289823741189317, 0.014745628921337307, 0.01682845753917981, 0.012033518840129761, 0.00939412924930481, 0.025381274211493842, 0.02186076726175152, 0.022677196763537234, 0.021107690244311056, 0.019959572215346645, 0.02390717793289308, 0.009429211328650036, 0.011070631019559046, 0.006617794499092962, 0.01683033754952902, 0.020672411342630703, 0.012080727122228588, 0.012927226139741418, 0.015408252169739824, 0.01648383054620489, 0.02062764813328736, 0.01618410977835948, 0.011133603891982084, 0.013189932417749519, 0.010276422301509444, 0.013551501426815734, 0.01811909900574413, 0.023662804838882775, 0.009535980449411549, 0.02287043612807831, 0.021511205372482443, 0.028614095736268715, 0.025075123946363145, 0.031118437532840385, 0.025867477379625747, 0.024178643411147182, 0.0221431579722156, 0.0073129987689159225, 0.005903561860878056, 0.010363945329519415, 0.013170769244379023, 0.011762348770990633, 0.011085849071008607, 0.02772181043353529, 0.0037529451418839115, 0.01229247713721574, 0.006086656704272562, 0.008340956885802437, 0.015222354472441859, 0.008304243740094652, 0.010722398129297775, 0.007755676214538318, 0.007411688548265704, 0.012142147023597841, 0.007507023160884859, 0.011109240724981819, 0.008634632223898313, 0.012031778300459456, 0.012531489277575615, 0.01215239548599523, 0.01762817905837845, 0.027111148429081765, 0.01974436711490963, 0.01765764326133366, 0.03401605878169181, 0.02631236839654364, 0.011831323923087786, 0.02087506748859039, 0.005031703396085647, 0.007779488443173362, 0.012490057189273946, 0.009408265764887071, 0.017857971660229725, 0.017202197976009005, 0.00873365585152256, 0.00799667647804857, 0.011980709962466807, 0.0177799740551951, 0.012381764373238593, 0.020277417322141892, 0.0123189490021001, 0.015599167369074522, 0.014079132312546278, 0.005768137638328162, 0.013975054890101235, 0.007705075541536086, 0.015950376920290495, 0.011194889153056851, 0.02750334167185983, 0.02125977834636754, 0.03118301233692448, 0.02305889846970758, 0.021515340107677004, 0.022161276476180894, 0.020279818638936138, 0.015601621698700475, 0.015476115222383098, 0.016918336640333976, 0.015054405469329143, 0.02482574355031298, 0.0228813194637959]",Cr4Ti7V111W4Zr2,perfect
-1154.067293138697,-1150.42916965,-3.638123488697147,128,"{'da': np.float64(0.007987090662796348), 'db': np.float64(-0.0014185058139517537), 'dc': np.float64(0.005180772717542581), 'dalpha': np.float64(0.035171570782097206), 'dbeta': np.float64(0.004478862365232317), 'dgamma': np.float64(-0.04318498375846502)}",0.023146953015953067,0.012083122859978108,0.025373422714611415,0.013127118255498152,"[0.010018553952737751, 0.00702504261854279, 0.020063607739562825, 0.012471604788112826, 0.01462149327029799, 0.01024936899004381, 0.014198474049487679, 0.004229175197502507, 0.00739464368098827, 0.01626498308199738, 0.010873766832769954, 0.014791685996779814, 0.009265221951742177, 0.013486058015488626, 0.00818626115703934, 0.007553795834496275, 0.004469017982072927, 0.008139720308796686, 0.006387887642428661, 0.006873872431902861, 0.018244648994887633, 0.008472443990158264, 0.009867059591375463, 0.014458927495098159, 0.012398770415600302, 0.015484854543025393, 0.011872214316622614, 0.014774961962073434, 0.010867789178981485, 0.002511991160687827, 0.006120079282044247, 0.009974896806883684, 0.00832745405593929, 0.014994378374828927, 0.01059432626689953, 0.01857724588722142, 0.013261140477185194, 0.013133622052051527, 0.005777098238332077, 0.008780707214150885, 0.008881360809424824, 0.012686062722520815, 0.022921975060961282, 0.014839500921032657, 0.009187983594564226, 0.008738007836673506, 0.009261716668403778, 0.014392672249528086, 0.02067360751866551, 0.019583681513346867, 0.017731328463668917, 0.002601607986509811, 0.006796564507874766, 0.006841453755710677, 0.013046838842203567, 0.019010351756960392, 0.012102435769851866, 0.021569143828699098, 0.009940395678233328, 0.0044449834762674495, 0.004346990565434211, 0.008123504773804916, 0.021384546811498067, 0.02394166221039953, 0.010812427791596869, 0.015299282606688855, 0.020571849399820718, 0.010379687823417095, 0.014844815968382564, 0.011768418336491613, 0.01552427580936688, 0.004494882912809633, 0.01520614199779418, 0.008545323917279161, 0.013664924172870265, 0.008289094584960691, 0.00760412842089605, 0.01059534052000001, 0.013548736933735239, 0.009969819520619696, 0.013932939044683654, 0.004928360728550938, 0.014702176488243665, 0.02436487104670982, 0.012162999482640978, 0.005619908437495092, 0.014212704165756668, 0.025373422714611415, 0.016842795998275924, 0.01168458598746011, 0.0065208087226198, 0.015782755903271124, 0.019290283351738862, 0.01678128852060044, 0.013927202693133524, 0.002068419520832494, 0.011921201685611725, 0.0132194676460466, 0.012910534152232376, 0.0046275456031568615, 0.010267038665286377, 0.009984967728587115, 0.01446990712521914, 0.013779203638525358, 0.008153629053585236, 0.010905060166959229, 0.003847969529362952, 0.008565066399597318, 0.008376294577526925, 0.015842170435663844, 0.016519619147022185, 0.010477996510768594, 0.011530212865290563, 0.008164411364067743, 0.007234566072554369, 0.009237835644973663, 0.022957900229251472, 0.024993612639545963, 0.010268570320457408, 0.01809941802564783, 0.009807393657853075, 0.018555721781445943, 0.015676559913957822, 0.01857744340882209, 0.012650781583437522, 0.013279183261467238, 0.007663165290650795, 0.006653381280191935]",Cr2Ti2V120W2Zr2,perfect
-1159.708610729813,-1155.77641161,-3.932199119813049,128,"{'da': np.float64(0.011022465984899199), 'db': np.float64(-0.012302259287990225), 'dc': np.float64(-0.008275583391197827), 'dalpha': np.float64(-0.13228206025192435), 'dbeta': np.float64(0.08475694887316365), 'dgamma': np.float64(-0.12309721912170346)}",0.08182963483433163,0.01697096423552209,0.03974125404255399,0.018378057152057266,"[0.011871676300826906, 0.01103393835153855, 0.033455893842239195, 0.018572752742047616, 0.028418729917247393, 0.019029636677279055, 0.012837962178024357, 0.029634389722058785, 0.015883540273687696, 0.013535489989451852, 0.03111214878902109, 0.022098127978445275, 0.02217422601225249, 0.01806470964490804, 0.018558590143658397, 0.021422724319287233, 0.02202785251182659, 0.01536275723123652, 0.006713982759930347, 0.010433711554697394, 0.008233394893987932, 0.006401616832431824, 0.015154691127463782, 0.015975258030946737, 0.017004033548972928, 0.011702675352399402, 0.01668002328345804, 0.013274724622894914, 0.01195091381865697, 0.005238761607351033, 0.02015165824603765, 0.009978562189736726, 0.0023109462556317535, 0.0173061497046451, 0.008676307886365944, 0.007990550022698313, 0.014326447932901422, 0.024326163662659887, 0.015072183761590523, 0.03974125404255399, 0.02549497244020041, 0.022940130441039725, 0.01710285046882693, 0.018800949973396625, 0.020964541270597364, 0.015340620252999223, 0.0050507355487477605, 0.011898954127614728, 0.019172177816971146, 0.01839053322115718, 0.012291480541309406, 0.018578751070776858, 0.00877531417072195, 0.00989091976441811, 0.009825065641763619, 0.012997801185520191, 0.020389300544401707, 0.015671253740445916, 0.01678127525020612, 0.004445189160397057, 0.011804000163753567, 0.010104725375866732, 0.018371335086319288, 0.02775108935167585, 0.013231255736170351, 0.02427760369770479, 0.015939796673101178, 0.006714972941989179, 0.008302020783085584, 0.01561414727132645, 0.016780940560125503, 0.02644233031382588, 0.02238697882299105, 0.0252275863095472, 0.016635833252182267, 0.025577535578729525, 0.0225314253793838, 0.012805671077297754, 0.018079298847242, 0.016816715728813245, 0.019690112219356782, 0.009825890363476164, 0.025157176072454792, 0.013450523782026201, 0.016141488004429952, 0.011587989246313475, 0.005113713560549859, 0.013297278196651139, 0.012691219764801049, 0.019129198134532333, 0.0272667690656032, 0.017424968557190786, 0.01091035663985644, 0.013349881702093863, 0.007027868727781606, 0.013532736347831687, 0.023191831471574206, 0.029907842139356676, 0.015489680612638782, 0.01344785194116054, 0.017547857895419003, 0.037990802014120265, 0.02386091811260661, 0.02325530319509283, 0.01707418163340008, 0.010080913475233851, 0.0283138775411564, 0.02195579220749413, 0.034048303415121786, 0.014267849175548556, 0.015832372569109535, 0.02321957012734829, 0.019238514618960464, 0.026283526675633506, 0.02176991534754636, 0.016471728574267378, 0.010446610512978455, 0.02040843845107691, 0.02361352433519973, 0.017552303325747882, 0.007312631176799614, 0.010602123350507324, 0.008332605835119328, 0.011732592104676757, 0.016181752791439734, 0.012429325629452738, 0.017716064139318154, 0.023172410021079438]",Cr6Ti11V102W6Zr3,perfect
