atom_index,element,raw_displacement,mic_displacement,ml_x,ml_y,ml_z,vasp_x,vasp_y,vasp_z
76,V,0.03136714075494307,0.03136714075494307,6.06908082,1.22502502,2.15342974,6.05631,1.2351,2.12661
77,V,0.05143984256012154,0.05143984256012154,5.25849356,0.04350246,4.22990543,5.21751,0.03762,4.19938
78,V,0.02201298223074329,0.02201298223074329,4.17884907,-1.07296006,6.16029935,4.17087,-1.06355,6.17853
79,V,0.03174665335619667,0.03174665335619667,6.08104108,4.88989039,0.025625,6.05765,4.87162,0.01436
80,V,0.017139236401490746,0.017139236401490746,5.20371241,3.68548134,2.14145615,5.19038,3.69255,2.13333
81,V,0.033717316210739715,0.033717316210739715,4.3726607,2.47363971,4.25810053,4.34225,2.48334,4.24724
82,V,0.042889305533502196,0.04288930553350218,3.50078601,1.31132774,6.42218072,3.47079,1.29468,6.39644
83,V,0.041041955295514486,0.041041955295514486,2.51085267,0.11437165,8.53336174,2.51026,0.0784,8.51361
84,V,0.019360629894042306,0.019360629894042306,5.19959474,7.35575061,0.02654888,5.1881,7.37092,0.023
85,V,0.013494679331533397,0.013494679331533397,4.34854462,6.12766413,2.13607186,4.33616,6.1265,2.13084
86,V,0.020844901978721235,0.020844901978721235,3.47016916,4.91036463,4.2290336,3.46943,4.90705,4.2496
87,V,0.018092977746238872,0.018092977746238872,2.60920869,3.67570973,6.38349963,2.62283,3.66433,6.37999
88,V,0.03286795342832814,0.03286795342832814,1.75227717,2.48382757,8.52312727,1.77489,2.48844,8.54653
89,V,0.012791559552559695,0.012791559552559693,4.33591743,9.79172647,0.00481203,4.34256,9.80101,-0.00096
90,V,0.008502246593789032,0.008502246593789032,3.47836014,8.56336614,2.12361668,3.48183,8.56274,2.11588
91,V,0.025843626370637175,0.025843626370637175,2.60348409,7.35986329,4.28011427,2.60363,7.34152,4.26191
92,V,0.022996858312327832,0.02299685831232783,1.78013303,6.10117492,6.4063845,1.7661,6.1019,6.38818
93,V,0.00988118057079161,0.009881180570791608,0.87633309,4.87729242,8.50816541,0.87559,4.87916,8.51784
94,V,12.984955624762296,0.018672848050606317,10.43943573,0.03940882,0.03032927,6.14387,-6.09935,10.63565
95,V,12.98909375708298,0.025184998221801435,9.5615089,-1.22629647,2.13392429,5.21722,11.01468,2.08696
96,V,0.020452836879673152,0.020452836879673145,8.69988114,-2.43539662,4.29291945,8.69542,-2.44561,4.27577
97,V,0.02071531058370868,0.02071531058370868,7.90087825,-3.70931059,6.50368117,7.90023,-3.72664,6.49235
98,V,0.012218542838861325,0.012218542838861325,8.73486679,1.26017891,2.09709623,8.7277,1.2561,2.08808
99,V,0.0336987016944345,0.0336987016944345,7.88405372,0.03700661,4.2248354,7.86543,0.03518,4.19681
100,V,0.03100284154544536,0.031002841545445352,8.76392384,4.8590251,0.12173942,8.75998,4.83553,0.1019
101,V,0.01343521327707886,0.01343521327707886,7.81031399,3.69076719,2.15771938,7.79821,3.68561,2.16044
102,V,0.04586583252496958,0.04586583252496958,6.98019135,2.47006424,4.29712922,6.96009,2.47366,4.25606
103,V,0.3575646176874912,0.35756461768749115,6.20712104,1.48983671,6.62572842,6.09294,1.34572,6.31906
104,V,0.13298889200767428,0.13298889200767428,7.85951723,7.36293322,0.00426126,7.76219,7.27475,0.02517
105,V,0.017577339934156975,0.017577339934156975,6.95002612,6.12689504,2.12820757,6.94629,6.13733,2.14185
106,V,0.032490117825760834,0.032490117825760834,6.11359707,4.9100911,4.26017963,6.0836,4.92206,4.25664
107,V,0.12449557911226411,0.12449557911226411,5.1762608,3.75861614,6.32941828,5.22882,3.70986,6.4312
108,V,0.24465482283974616,0.24465482283974616,4.47208568,2.54061115,8.55788675,4.44672,2.65241,8.77402
109,V,0.10660717921458641,0.10660717921458641,6.93503131,9.80978775,0.00207318,7.03798,9.82486,0.0253
110,V,0.02540270360540023,0.02540270360540023,6.07460314,8.57094661,2.13140761,6.09089,8.57778,2.11315
111,V,0.011842886978777365,0.011842886978777363,5.20276858,7.35170941,4.26201826,5.20371,7.35416,4.25047
112,V,0.01693921776502622,0.01693921776502622,4.37506277,6.12447465,6.38767134,4.37854,6.11746,6.37265
113,V,0.09662620311945429,0.0966262031194543,3.4894664,4.9693411,8.53016239,3.42693,5.01608,8.47323
114,Cr,0.007731012977540607,0.007731012977540606,-0.81272536,2.42306573,0.04623158,-0.81935,2.4235,0.04227
115,Cr,0.005429069399777064,0.005429069399777065,-4.21195536,-2.46876238,8.54261256,-4.21414,-2.47216,8.54624
116,Cr,0.025302287945097476,0.025302287945097476,-1.67232686,4.91766969,0.06516503,-1.67021,4.89854,0.08159
117,Cr,12.97597608302309,0.025187815818831904,2.68750023,7.26556147,8.55837818,7.02973,-4.96226,8.5955
118,Cr,0.010924939489048376,0.010924939489048376,9.57319063,2.39570645,0.1133088,9.5637,2.39912,0.10911
119,Ti,0.009531714206028325,0.009531714206028325,5.20197162,-3.63250631,6.36176093,5.19285,-3.63128,6.36424
120,Ti,0.02346255992337106,0.02346255992337106,3.46023847,-2.45090712,8.48870515,3.46342,-2.43048,8.47761
121,Ti,0.07980125661378823,0.07980125661378822,6.9371834,-1.13943106,6.40030831,6.92863,-1.20497,6.35559
122,Ti,0.03580280879272039,0.03580280879272039,6.28318894,-2.57639133,8.71371166,6.25482,-2.55532,8.71946
123,Ti,0.1540155111725493,0.1540155111725493,5.13278483,-0.07298988,8.49441728,5.19637,0.06688,8.5051
