mlip_energy_total,vasp_energy_total,energy_diff,num_atoms,cell_param_diffs,cell_rmse,mean_atomic_displacement,max_atomic_displacement,rms_atomic_displacement,atomic_displacements_all,composition,type
-1115.4334406148646,-1115.99073208,0.5572914651354495,125,"{'da': np.float64(-0.3316579157506325), 'db': np.float64(-0.3353507111639953), 'dc': np.float64(-0.3324680873626651), 'dalpha': np.float64(-0.07829433303604105), 'dbeta': np.float64(0.1342250719256839), 'dgamma': np.float64(-0.07701261702689521)}",0.24599099488029522,0.21655077017942614,0.6351988773500361,0.23307612319727541,"[0.045742573370940315, 0.061038589548339316, 0.30910168544323174, 0.304360295617228, 0.2991057940964995, 0.055544205401447826, 0.1081085246164234, 0.20779106727281368, 0.08082352675125357, 0.1367919832185153, 0.19642237552184869, 0.32497824168436, 0.17900711766241914, 0.18851036548209618, 0.1865802735643716, 0.22330939941400235, 0.27442306425186613, 0.286303100655447, 0.29369449206450243, 0.26857778702913515, 0.27199289761639545, 0.31039784757653455, 0.061271165889829976, 0.052286768723668886, 0.2778656358576194, 0.21099516382439687, 0.2771856946296518, 0.0557790243245324, 0.05979033160711815, 0.09304448149113163, 0.15505759721521942, 0.2834066507407398, 0.0808098222253952, 0.06427395247317301, 0.12156734736644483, 0.1705278650066691, 0.2337632385261554, 0.1885749874098029, 0.09834024951423274, 0.14749415184793493, 0.1935756549585751, 0.2377601295211204, 0.2936214847500537, 0.23695633453413562, 0.19586776775306672, 0.23160631116483596, 0.2657842451490953, 0.3095168009167028, 0.2780186944222522, 0.24014633912932126, 0.24384856862012577, 0.28331721532755455, 0.10814599853433438, 0.09334152020105538, 0.09243118373841427, 0.15630087031716483, 0.26674981608312226, 0.13708157503682858, 0.12191684611560197, 0.12102825268511143, 0.17140284020156166, 0.23933844871220508, 0.1870018436044559, 0.14785995558270457, 0.14467269823393286, 0.1857621303985681, 0.23923284392447214, 0.2686394186135119, 0.19621772575186935, 0.12976087352774926, 0.2254977927471557, 0.2542486968251261, 0.3044904349107328, 0.21076142514686694, 0.24420077361604406, 0.43140123685039816, 0.20737635857878478, 0.1550361326312508, 0.15631464298369804, 0.15018129850045359, 0.1963567748260577, 0.1707942293740484, 0.17167761760833414, 0.18475142535104797, 0.2487714077898783, 0.22374835479320185, 0.19395459262552853, 0.1860836633896426, 0.185030126535537, 0.2541391517956483, 0.2722773916699922, 0.2319673565562134, 0.2256979924953392, 0.24145900156656258, 0.2520011320887833, 0.29916199553730893, 0.2767988052502892, 0.2830421439291664, 0.43127295037751195, 0.28314626498047024, 0.26642766740396756, 0.32401446802565215, 0.2334160217722868, 0.2392510657723654, 0.24864580052375831, 0.2743342658325597, 0.2378423621600949, 0.23927494680446743, 0.25423164076859733, 0.3000227935315501, 0.31062376056049446, 0.26609516170872716, 0.2544252609635227, 0.2519801077288148, 0.3229186577016658, 0.1390375041881281, 0.2911842573609037, 0.1331501868494479, 0.3197563493299441, 0.2905068042564345, 0.19504622340990416, 0.2059918306084734, 0.20591596553450772, 0.6351988773500361, 0.21636939690800414]",Cr5Ti5V115,perfect
-1151.6598161944096,-1153.17243036,1.5126141655903211,128,"{'da': np.float64(-0.3857933680439469), 'db': np.float64(-0.37868619718597074), 'dc': np.float64(-0.3802878207762639), 'dalpha': np.float64(0.16175629362271593), 'dbeta': np.float64(0.005769240725300051), 'dgamma': np.float64(0.0033770588808295088)}",0.27780939886560513,0.34083602210347774,0.6496586276155173,0.36279726098745874,"[0.2948322193944342, 0.24383589632098937, 0.27192454615719525, 0.4160463674676309, 0.15181060208574046, 0.23940573841006826, 0.25169614186983386, 0.20208039854146354, 0.47131504027311977, 0.3812274324775254, 0.4230769168702942, 0.021825646117097416, 0.10354656015584063, 0.11727325582390757, 0.08620736791995494, 0.17898676170745012, 0.3121799444910955, 0.29167529046201596, 0.35725981878867663, 0.027983931539374444, 0.24026657780540364, 0.2976637550118732, 0.19872989751477593, 0.31756569960762254, 0.30777571577877083, 0.31468481882722205, 0.3117326952343654, 0.1715922639833957, 0.3044082731307997, 0.3730694842485789, 0.34716482876191307, 0.4876967034853325, 0.3215136950080377, 0.3643056889918398, 0.3956590731783841, 0.4939677751904378, 0.4182644457103928, 0.49730999316597846, 0.11764341817776774, 0.1503324715149329, 0.14219921714332343, 0.23424705758376863, 0.4275035829190492, 0.3347115978524577, 0.4094608758681711, 0.18758551165790166, 0.19914437886284136, 0.2741559534201462, 0.35611984735797564, 0.30482376176929, 0.42090080110011396, 0.2690434271659688, 0.24764446272164248, 0.2892534871727769, 0.3935983600699446, 0.3765628173677979, 0.44936044384139745, 0.2528026097584194, 0.3649914436555715, 0.3252276009196364, 0.4280721034204987, 0.6123891581951505, 0.4442075134510363, 0.5221488527307834, 0.18689187678611263, 0.2242336180801738, 0.21630213867180675, 0.30820731490082337, 0.1647635042743956, 0.4347791700360359, 0.43452745779419566, 0.21590698405940897, 0.2724086119779928, 0.22452793652054728, 0.34474022183500747, 0.23021519502585797, 0.3772408806879444, 0.4701336848750127, 0.4280471937342766, 0.2679493833568621, 0.299860528982756, 0.27455401322995976, 0.3586955961153042, 0.3704201168866529, 0.42932991904489254, 0.4146729361780619, 0.4984202681851883, 0.29576318268955626, 0.4089783898697385, 0.3547339706394246, 0.4927789087200157, 0.47112260244944204, 0.48373866585677583, 0.4753573062560742, 0.5657424478943511, 0.2657547099769249, 0.3081548421107178, 0.2925998391495967, 0.3472568522670789, 0.33026950901590174, 0.5281076596379297, 0.2550891637275726, 0.19129678350670581, 0.28676925278750237, 0.3670239877487838, 0.3960952450960066, 0.5446319043158913, 0.3261216301978615, 0.319812867315586, 0.4956222596061652, 0.3478470517462176, 0.4606497708333378, 0.4198393763676462, 0.4894664953638292, 0.4659724019079722, 0.5625052064721998, 0.379106749224304, 0.5173294228276117, 0.550991107275468, 0.4236626243047941, 0.5022009084167696, 0.6496586276155173, 0.2995395471577711, 0.31180641615377, 0.4587796238025158, 0.5360527657929107, 0.08735395231675466, 0.3729062323836924]",Cr4Ti7V111W4Zr2,perfect
-1147.4784256095375,-1150.42916965,2.950744040462496,128,"{'da': np.float64(-0.3400074566255036), 'db': np.float64(-0.3510870195806408), 'dc': np.float64(-0.3404825951875097), 'dalpha': np.float64(0.02210316358642217), 'dbeta': np.float64(-0.0021515219480079395), 'dgamma': np.float64(-0.050761352116694525)}",0.24422170844696234,0.2933431149556809,0.5301686186140281,0.3097048466845,"[0.263685780891517, 0.27360709223814506, 0.32425263509190283, 0.3710099061545377, 0.03866190591563943, 0.08589008692246684, 0.08400879386024561, 0.11895111645461634, 0.15560496518382663, 0.16634785183680176, 0.25626476362099926, 0.39742109126165853, 0.08479813010998132, 0.161796904785463, 0.13348985826701149, 0.17906644086980894, 0.1764092119164217, 0.2133035209352565, 0.2692032393287451, 0.3661506804533323, 0.19966565282310975, 0.27063451897966784, 0.20958491874062704, 0.2523863063925131, 0.22593581177600178, 0.31344738513148906, 0.3130446038598925, 0.45088962862270143, 0.26090136372341144, 0.3042288219723104, 0.2793812424914376, 0.3338378942065234, 0.308034683074718, 0.2735963321151518, 0.3685615055744315, 0.46152214336488556, 0.09637255508806414, 0.13849199205404358, 0.12305318861375088, 0.1676127791461942, 0.14780294850437503, 0.26434552739164857, 0.4376277370289645, 0.13453628200760068, 0.19227029390125241, 0.14639807427815898, 0.2194360670453539, 0.20359947656412297, 0.27865170450505833, 0.30827175544179225, 0.4045825281789825, 0.1892471934987729, 0.2627751901847172, 0.2189650318756179, 0.27159196303525984, 0.2474195188716724, 0.35147144514680423, 0.4624295860845052, 0.3051478017236762, 0.2865202462242523, 0.3508100033793919, 0.30917055530997095, 0.3311228793567816, 0.3465388038769188, 0.4661331371367732, 0.12918120926443044, 0.29484232411383815, 0.20407386868559396, 0.28276345691165156, 0.23725131529020918, 0.27691923784079925, 0.3161726737674395, 0.3229637308847342, 0.19804965995781582, 0.2654657850282426, 0.19728861523764318, 0.2767347280723418, 0.2487390813759369, 0.3369923622299319, 0.32138323683322456, 0.40863989719519933, 0.22978458802543025, 0.2812262259670281, 0.2510488730634667, 0.31886223122021456, 0.2859203687827543, 0.3496239525151235, 0.35975009029350163, 0.40853899912637426, 0.2954283493807721, 0.2960302470416448, 0.3163438148212951, 0.4170136947535878, 0.3494252710435461, 0.3887029261993846, 0.3793615647021542, 0.3093264988006459, 0.3721970639074345, 0.27610561156441976, 0.2964719283027405, 0.30610262876162864, 0.3522965054493646, 0.5143276743783811, 0.26120257497967536, 0.2945335593417196, 0.32314928436490226, 0.3575306671052443, 0.37158538221757653, 0.4393447405553849, 0.304189307258468, 0.36833735545633195, 0.3221332718118803, 0.36204506449609514, 0.3167320678821005, 0.38593227981227357, 0.4787604631688027, 0.33770987304384104, 0.46722951686198494, 0.369416886652238, 0.45403369697823637, 0.38955929117965954, 0.47825964724278874, 0.4461342095041646, 0.5301686186140281, 0.30620327540084574, 0.4045780517102497, 0.2503055467006919, 0.24952073679631717]",Cr2Ti2V120W2Zr2,perfect
-1156.3005109250512,-1155.77641161,-0.5240993150512168,128,"{'da': np.float64(-0.3864179972420896), 'db': np.float64(-0.42290836180672997), 'dc': np.float64(-0.4120304441301226), 'dalpha': np.float64(-0.1765851502674991), 'dbeta': np.float64(0.09052004252450274), 'dgamma': np.float64(-0.10641840049798645)}",0.3023906158505608,0.3573113859731779,0.7772029436867823,0.3780343276517541,"[0.2892099781359878, 0.4901935307473562, 0.47072425316188843, 0.40885519141415416, 0.4721131531210699, 0.3766000389215558, 0.19633983193351123, 0.5247585888620788, 0.4223675536124074, 0.39477857151979323, 0.3638767800523249, 0.317655235957244, 0.30651324787237455, 0.4499111860148503, 0.32628661505925144, 0.40482871540815335, 0.5153743718145991, 0.11602257054529644, 0.1475488756658098, 0.1974780002968317, 0.3250742806816733, 0.34666628709182173, 0.32580993753653525, 0.29166019152745976, 0.12717538672035508, 0.182996228078695, 0.16079984285762783, 0.2666586304794381, 0.24862490222609485, 0.3205939947882954, 0.23028919656690522, 0.2503574375169722, 0.2365380913378268, 0.3282082260749525, 0.3075204133847819, 0.3493756737947672, 0.3674263223723614, 0.44092565794149824, 0.3534805201904382, 0.3943397655989377, 0.5083216572400728, 0.3739604295952679, 0.46185448749263647, 0.048664124824793896, 0.21203490342232717, 0.3424182398610733, 0.3203739593772048, 0.32410035481268934, 0.29892364012756817, 0.37762495901729104, 0.11810849269549557, 0.1946063315540939, 0.3092370987985178, 0.3003024325244773, 0.31567297115603854, 0.3243738366744165, 0.3598671260239249, 0.2301699908569345, 0.29805630538359273, 0.3444987573382124, 0.3235966397814795, 0.3688465539290881, 0.4312655891882848, 0.32344550045293136, 0.35126729940454354, 0.3455934354962457, 0.4046549939303006, 0.3912855583737241, 0.49225806243021253, 0.4465192487221001, 0.2394892975413944, 0.20044643875313203, 0.2008094756247414, 0.2519292902079783, 0.2585650468755787, 0.44956434597645273, 0.21377274161781384, 0.23477865061675837, 0.26295126457751755, 0.4014711559098117, 0.212916889977465, 0.4201556602762869, 0.3878047710023964, 0.4006756948163598, 0.3186628076107861, 0.30368483591124823, 0.31184394553972306, 0.35690144790642403, 0.36956330413419364, 0.40098403232938784, 0.4588917522116215, 0.37344328066654175, 0.46492618906996447, 0.42833784493569654, 0.7091280317210936, 0.46654173451028663, 0.6183613120609299, 0.2162784351569944, 0.27256631647520757, 0.37407896083616277, 0.5102109138791674, 0.4477647901993956, 0.2286830963567962, 0.43566946830677616, 0.45382988245866784, 0.5152303615733802, 0.5241759672338727, 0.4924159012304011, 0.3722447846743103, 0.34656403418594756, 0.3250011606087998, 0.5202994687814761, 0.5942102363237436, 0.4348378251687174, 0.5166038474796762, 0.4310484304310166, 0.6314529752603008, 0.7772029436867823, 0.613859865559556, 0.34891487273334304, 0.4893790336663765, 0.15252754767044815, 0.25602988262126963, 0.3936647308975808, 0.25457418812754634, 0.3989017585262609, 0.1630432748514309, 0.5401309498542667]",Cr6Ti11V102W6Zr3,perfect
