config_name,hpo_id,mean_force_rmse,std_force_rmse,num_rmse_samples,mean_katom_steps_per_s_log,mean_peak_gpu_memory_mib,mean_timesteps_per_s_log,std_katom_steps_per_s_log,std_peak_gpu_memory_mib,std_timesteps_per_s_log
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_107,0.17229209510332644,0.00584867136313662,9,24.114000000000004,11347.42857142857,72.34295238095238,11.47797892488046,5336.363561184982,56.92377883756154
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_106,0.18239709264590206,0.005973135935875554,9,32.18928571428571,10912.285714285714,86.68995238095238,17.21797024664306,4860.178331531232,64.8930276974932
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_105,0.19069381996348997,0.0033519100008600118,9,36.782142857142865,10664.857142857143,94.539,21.233965680686484,4525.385732572576,67.21800374973955
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_104,0.18398307605308697,0.0046417545347173786,9,30.739095238095242,10470.57142857143,83.09438095238094,16.07715330804792,4219.733647653944,61.56546505751109
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_103,0.1916931952407665,0.003770804890287452,9,41.45619047619048,10199.47619047619,104.60909523809522,24.14363279131591,3940.2094692928144,71.60471456748135
hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_102,0.1989055082850888,0.0030634672169123777,9,48.308142857142855,9986.57142857143,112.8994761904762,31.01952826250863,3670.226308709431,71.7798712973345
hpo_101_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_101,0.19136897560294813,0.006068513079794013,9,32.925285714285714,10168.857142857143,87.52352380952381,18.12697422115135,3975.5031667163125,64.0752974566791
hpo_100_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_100,0.19884219497677205,0.005820220069954927,9,47.642809523809525,9766.761904761905,111.5367142857143,30.420190482012185,3448.1189785847287,71.40363974836498
hpo_099_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_099,0.20597387034613557,0.004444291999900916,9,57.64094736842106,12476.380952380952,101.42089473684209,45.512373031314475,7254.4875937325205,71.72065358032025
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_098,0.1776244577622469,0.00443231141349088,9,27.1113,10927.714285714286,82.98269999999998,13.168387788863704,5123.732781311464,60.14200299913006
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_097,0.18491538321505765,0.005387357842691856,9,33.983380952380955,10505.47619047619,91.36547619047617,18.647929047152097,4557.4033135004365,68.04814126676719
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_096,0.19523981751201225,0.0035675348994297354,9,39.949714285714286,10235.666666666666,103.62704761904763,22.322151917193956,4191.650096720065,73.41403197037756
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_095,0.1856266826254867,0.005399023327205659,9,32.57480952380952,10073.904761904761,88.06838095238096,17.804186677911034,3990.7625199297677,67.55657003761824
hpo_094_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_094,0.19522161013764197,0.004682241731088477,9,43.98314285714286,9719.095238095239,107.62933333333334,27.65396051614617,3563.010733982735,73.7083622198549
hpo_093_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_093,0.20355819549435789,0.0036278357557599237,9,54.88090476190477,9471.047619047618,122.56647619047622,36.61939988845361,3263.069681698362,74.28805228071272
hpo_092_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_092,0.1954854701970169,0.0052114637995057285,9,37.660047619047624,9668.333333333334,97.7282380952381,21.335927667847468,3557.263138050562,69.78964518172074
hpo_091_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_091,0.20381394302312106,0.004491353733763757,9,55.999619047619035,9241.42857142857,124.7159047619048,38.0133206435273,3058.4508917330772,76.8744993674136
hpo_090_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_090,0.2087962573933893,0.003630641663616249,9,66.56647619047618,9052.904761904761,139.13766666666663,48.68169109287294,2870.891967747339,79.43572975137405
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_089,0.18065494603751395,0.0069536318999889775,9,29.208619047619045,10586.904761904761,81.23052380952379,14.403122638775908,5029.766345515087,61.24040594135463
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_088,0.19329931311272316,0.004885888503077901,9,35.9954761904762,10140.666666666666,95.55880952380951,19.809790323521973,4397.445625966663,70.47970881155729
hpo_087_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_087,0.19985677398160243,0.00521150122093544,9,40.851238095238095,9860.857142857143,105.11066666666667,23.537784950807843,4026.279328185195,74.94055507622915
hpo_086_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_086,0.19015165467524323,0.0076326924553058615,9,32.579190476190476,9602.190476190477,87.56328571428571,17.88176835108611,3678.1332849564824,66.28840220743207
hpo_085_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_085,0.19906879673368638,0.004782099440612603,9,32.892,6217.761904761905,222.23363636363638,18.41109892972171,3981.065961583178,147.61485700177522
hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_084,0.2075035499652737,0.003391859137774939,9,18.277,5531.809523809524,338.4626666666666,7.525027109585718,3458.4520759878637,139.35422388407653
hpo_083_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_083,0.20006987689635217,0.005062832148332221,9,49.44085714285715,5552.857142857143,143.6672857142857,23.639243338748628,3419.790436352998,121.41759971155041
